city,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Girona,30.4904082853906,51.72694349871887,66.48435395350435,76.72434437002859,83.8237285667969,88.74391273536851,92.15395786000055,94.51835319626771,96.15903519347236,97.29891878657945,98.09222044407538,98.64559060345655,99.03276506201205,99.3047116959248
Rodez,17.317786093486003,30.351840112431937,40.304805584389754,48.03821778759995,54.16456489436291,59.11824913260857,63.20717690842934,66.65019454933014,69.60208853166175,72.17368088229239,74.44486094315828,76.47290308736329,78.30068192717799,79.95992620168113
Charmonix,10.377605698202718,18.923050869072565,26.097634618996434,32.23657802080437,37.583262678471776,42.311906003372606,46.54995309956274,50.389291443758054,53.89735707519886,57.12289516516241,60.10361718540782,62.86780329087877,65.43785410996674,67.83130238339908
St.Moritz,14.887824444502682,26.38031659832869,35.405094677489515,42.62971134213455,48.53179740968043,53.4517505773363,57.63243419230611,61.24703665345825,64.419837948889,67.24035440206325,69.77410851954127,72.06904274935368,74.16105704773372,76.07765320605994
Genoa,30.385688606554584,51.557571768333496,66.2776185379293,76.49864255605826,83.59125654573344,88.51265199780615,91.928988547753,94.3027701287453,95.95463300279432,97.10658806237947,97.91228099187364,98.4779895639177,98.8772005445001,99.160753090063
Marseille,26.440939554412008,45.16982007179212,58.470582540676475,67.9620028891207,74.78335828364807,79.7328341596314,83.36776570858505,86.07686754873593,88.13085569617894,89.718395267584,90.97105438741721,91.98089256378407,92.81228017944744,93.51063703783194
Bayonne,13.56651373707461,24.21116265966704,32.71577204988624,39.64739016539775,45.4127753287359,50.30002051916831,54.5183904750758,58.215539444403895,61.4999158873576,64.44969440391742,67.12170265509401,69.55920924003426,71.79356019571563,73.85065069585407
Bordeaux,29.204165023898305,49.645067197689464,63.94117259567125,73.94490606767361,80.95755435386056,85.88857371251005,89.37149916724685,91.84668461934044,93.61987316082734,94.9030413060041,95.84327848336262,96.5426184561062,97.07185834218237,97.48015443865519
Saint Etienne,27.569874894560197,46.99852228136241,60.706473154294386,70.40783235027828,77.30788142564913,82.25043751674815,85.82380558545088,88.43765461836598,90.37721033579913,91.8405908753677,92.96583069373567,93.84888236048134,94.5568794283839,95.13670676887752
Mailand,30.584929448260993,51.879858573617874,66.67100845127891,76.92812283608959,84.03354542306137,88.95251900989753,92.35669662687533,94.71233611108691,96.34256870117514,97.47109828060265,98.25266869669784,98.7942589333255,99.16981598360744,99.43043337876873
Paris,30.547408370464602,51.819118671017215,66.59681128866227,76.84706712865233,83.95003151515864,88.8694403210135,92.27592365766824,94.63503585466242,96.26943858558977,97.40252201439371,98.18882449847415,98.73519600476845,99.11549799628483,99.38077708573549
Strasbourg,30.249267096006715,51.33684875567586,66.00807298195946,76.2041642833585,83.2877242885196,88.21042878764214,91.63465186647032,94.02035262199172,95.68642315673017,96.85375094013277,97.67520266617218,98.25657810367001,98.6710489529447,98.9692461645467
